City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ghat,24.9647,10.1728,20.73,14,10,1.23,LY,1700588194
83,awjilah,29.1081,21.2869,18.81,48,1,3.62,LY,1700588195
84,soio,-6.1349,12.3689,24.93,82,100,0.59,AO,1700588195
85,saipan,15.1355,145.701,27.39,83,0,7.2,MP,1700588196
86,chipinge,-20.1883,32.6236,22.01,76,38,4.65,ZW,1700588197
87,west bay,19.3667,-81.4167,30.56,69,20,4.63,KY,1700588198
88,kerikeri,-35.2268,173.9474,14.39,91,100,0.45,NZ,1700588198
89,dazhong,33.1997,120.4578,11.3,71,0,3.3,CN,1700588199
90,talnakh,69.4865,88.3972,-24.89,97,100,4.5,RU,1700588200
91,kristiansund,63.1115,7.732,-2.64,68,0,2.06,NO,1700588200
92,achinsk,56.2694,90.4993,-13.5,76,9,4.92,RU,1700588201
93,aasiaat,68.7098,-52.8699,-4.19,67,91,9.79,GL,1700588202
94,yellowknife,62.456,-114.3525,-18.58,84,75,2.68,CA,1700588101
95,sinabang,2.4803,96.3801,24.98,89,100,1.13,ID,1700588203
96,port mathurin,-19.6833,63.4167,25.41,73,42,7.48,MU,1700588204
97,vail,32.0479,-110.712,19.31,28,0,1.34,US,1700588204
98,agbabu,6.5886,4.8343,26.95,84,100,2.02,NG,1700588205
99,umm qasr,30.0405,47.9168,17.93,44,0,4.24,IQ,1700588206
100,la sarre,48.8002,-79.1996,-2.12,67,100,4.75,CA,1700588005
101,bunol,39.4167,-0.7833,16.12,53,2,6.19,ES,1700588207
102,tazovsky,67.4667,78.7,-29.24,100,43,1.81,RU,1700588208
103,st. john's,47.5649,-52.7093,2.93,74,40,5.14,CA,1700588208
104,phan rang-thap cham,11.5667,108.9833,22.55,85,90,2.8,VN,1700588209
105,marsa alam,25.0757,34.8918,23.23,56,4,4.73,EG,1700588210
106,teguise,29.0605,-13.564,23.12,38,0,5.14,ES,1700588210
107,hashtrud,37.4779,47.0508,0.74,70,68,8.55,IR,1700588211
108,piet retief,-27.0071,30.8132,21.45,69,87,1.58,ZA,1700588211
109,tokoroa,-38.2333,175.8667,13.86,83,71,2.24,NZ,1700588212
110,ulan bator,47.9077,106.8832,-8.93,79,75,4.0,MN,1700587961
111,bel ombre,-4.6167,55.4167,27.91,78,20,1.54,SC,1700588213
112,oranjemund,-28.55,16.4333,17.96,77,61,1.94,NA,1700588214
113,udachny,66.4167,112.4,-32.67,100,90,1.86,RU,1700588214
114,new norfolk,-42.7826,147.0587,13.72,97,3,1.14,AU,1700588215
115,ketchikan,55.3422,-131.6461,9.26,76,100,6.17,US,1700588001
116,wailua homesteads,22.0669,-159.378,20.42,92,81,4.39,US,1700588216
117,saint-leu,-21.15,55.2833,25.48,95,39,2.72,RE,1700588217
118,okap,19.7578,-72.2042,27.29,71,36,7.14,HT,1700588110
119,belogradchik,43.6272,22.6836,7.3,69,100,0.59,BG,1700588218
120,plouzane,48.3833,-4.6167,11.1,76,100,6.17,FR,1700588219
121,vila velha,-20.3297,-40.2925,30.97,75,20,6.17,BR,1700588220
122,richards bay,-28.783,32.0377,23.07,82,94,5.17,ZA,1700588220
123,taipei,25.0478,121.5319,23.9,74,20,4.12,TW,1700588219
124,tabou,4.423,-7.3528,27.46,81,74,3.98,CI,1700588221
125,roswell,34.0232,-84.3616,18.36,95,100,5.14,US,1700587938
126,viedma,-40.8135,-62.9967,21.61,18,1,8.29,AR,1700588223
127,tsiombe,-25.3,45.4833,24.55,73,0,6.03,MG,1700588224
128,guerrero negro,27.9769,-114.0611,25.04,32,0,8.22,MX,1700588224
129,broken hill,-31.95,141.4333,17.65,49,77,6.35,AU,1700588225
130,thompson,55.7435,-97.8558,-7.91,67,100,7.2,CA,1700588226
131,tshikapa,-6.4167,20.8,22.6,96,92,1.15,CD,1700588227
132,pariaman,-0.619,100.12,25.03,87,99,0.73,ID,1700588227
133,remire-montjoly,4.9167,-52.2667,33.02,58,40,5.66,GF,1700588027
134,howrah,22.5892,88.3103,23.0,73,20,1.54,IN,1700588147
135,enewetak,11.3474,162.3373,28.12,74,44,10.78,MH,1700588229
136,kakata,6.53,-10.3517,27.24,78,96,2.79,LR,1700588230
137,nawabshah,26.2483,68.4096,23.12,25,8,1.47,PK,1700588232
138,punta arenas,-53.15,-70.9167,6.73,87,97,11.47,CL,1700588232
139,ribeira grande,38.5167,-28.7,20.99,88,40,10.29,PT,1700588233
140,vilyuchinsk,52.9306,158.4028,-2.82,82,10,4.38,RU,1700588234
141,simenqian,27.4872,110.8861,14.93,74,36,0.76,CN,1700588235
142,salaqi,40.5414,110.5108,1.42,46,2,4.14,CN,1700588235
143,tamandare,-8.7597,-35.1047,28.29,65,39,5.61,BR,1700588236
144,fort bragg,35.139,-79.006,17.68,79,100,1.54,US,1700588170
145,jayapura,-2.5333,140.7,24.66,91,71,2.8,ID,1700588237
146,georgetown,5.4112,100.3354,26.96,84,20,2.57,MY,1700587972
147,petropavlovsk-kamchatsky,53.0452,158.6483,-3.64,79,0,8.94,RU,1700588239
148,sinop,41.7711,34.8709,8.24,78,22,4.33,TR,1700588240
149,yerofey pavlovich,53.9667,121.9667,-14.57,62,68,1.24,RU,1700588240
150,alloa,56.1159,-3.79,7.77,89,100,2.43,GB,1700588183
151,uyar,55.81,94.3153,-13.86,87,21,3.72,RU,1700588242
152,comodoro rivadavia,-45.8667,-67.5,19.92,14,0,9.77,AR,1700588243
153,brechin,56.7299,-2.6573,5.84,86,100,3.21,GB,1700588244
154,ivdel',60.6911,60.4206,-7.67,93,100,1.79,RU,1700588245
155,srednebelaya,50.6594,128.0106,-5.79,93,63,2.26,RU,1700588245
156,dongola,19.1667,30.4833,21.99,25,19,4.74,SD,1700588247
157,monterey,36.2505,-121.2516,15.65,32,45,0.54,US,1700588149
158,midvagur,62.0511,-7.1939,9.46,93,100,9.77,FO,1700588248
159,modimolle,-24.7,28.4,26.37,41,89,2.99,ZA,1700588250
160,labasa,-16.4167,179.3833,23.82,89,33,2.15,FJ,1700588251
161,mermoz boabab,14.7065,-17.4758,31.31,74,0,4.12,SN,1700588251
162,badger,64.8,-147.5333,-14.05,76,0,4.12,US,1700588252
163,panchagarh,26.3313,88.562,19.66,54,0,1.65,BD,1700588253
164,egilsstadir,65.2653,-14.3948,4.95,75,20,4.12,IS,1700588254
165,reno,39.5296,-119.8138,11.71,55,75,0.89,US,1700587963
166,lamu,-2.2717,40.902,26.12,81,88,3.2,KE,1700588255
167,geraldton,-28.7667,114.6,19.23,88,0,4.12,AU,1700588256
168,papao,-17.75,-149.55,24.82,89,88,9.38,PF,1700588256
169,nguigmi,14.2495,13.1092,25.17,28,57,2.96,NE,1700588257
170,severo-yeniseyskiy,60.3725,93.0408,-26.21,99,99,1.7,RU,1700588258
171,cafayate,-26.073,-65.9761,31.97,34,26,6.48,AR,1700588259
172,la'ie,21.6477,-157.9253,23.95,78,96,1.34,US,1700588259
173,christchurch,-43.5333,172.6333,14.95,89,100,5.66,NZ,1700588175
174,harstad,68.799,16.5293,-1.03,85,78,8.05,NO,1700588261
175,iwanai,42.9744,140.5089,9.08,85,62,4.08,JP,1700588262
176,hwange,-18.3693,26.5019,25.55,61,71,3.51,ZW,1700588262
177,petauke,-14.2426,31.3253,27.95,43,72,3.31,ZM,1700588263
178,port isabel,26.0734,-97.2086,19.47,65,100,10.8,US,1700588264
179,burang,30.25,81.1667,-2.16,29,0,1.54,CN,1700588264
180,ta`u,-14.2336,-169.5144,26.68,67,6,7.18,AS,1700588265
