City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,invercargill,-46.4,168.35,281.49,93,100,1.74,NZ,1700158668
84,iskateley,67.6803,53.1512,264.27,96,100,2.68,RU,1700158669
85,novodvinsk,64.4165,40.8122,267.47,84,22,2.3,RU,1700158670
86,rundu,-17.9333,19.7667,297.08,61,100,4.27,NA,1700158670
87,coquimbo,-29.9533,-71.3436,291.0,59,0,7.2,CL,1700158671
88,shelburne,44.0787,-80.2041,286.9,50,62,5.1,CA,1700158672
89,pacific grove,36.6177,-121.9166,293.65,80,40,1.34,US,1700158672
90,cabo san lucas,22.8909,-109.9124,304.13,49,20,2.06,MX,1700158463
91,fort mcmurray,56.7268,-111.381,268.92,74,0,3.09,CA,1700158674
92,san patricio,28.017,-97.5169,294.17,78,84,2.1,US,1700158675
93,puerto natales,-51.7236,-72.4875,282.4,76,100,2.57,CL,1700158654
94,kodiak,57.79,-152.4072,276.88,60,20,4.63,US,1700158676
95,soio,-6.1349,12.3689,299.77,86,76,3.23,AO,1700158676
96,olinda,-8.0089,-34.8553,302.0,74,75,3.6,BR,1700158677
97,ibarreta,-25.2144,-59.8585,301.17,75,94,4.71,AR,1700158678
98,petropavlovsk-kamchatsky,53.0452,158.6483,265.07,75,0,6.26,RU,1700158679
99,hermanus,-34.4187,19.2345,290.83,90,74,2.19,ZA,1700158679
100,norilsk,69.3535,88.2027,261.72,93,100,4.27,RU,1700158680
101,margaret river,-33.95,115.0667,285.73,74,0,5.89,AU,1700158680
102,dehdasht,30.7949,50.5646,290.11,69,96,0.76,IR,1700158681
103,cholpon-ata,42.6494,77.0823,275.18,34,10,1.49,KG,1700158682
104,mao,39.8885,4.2658,291.46,100,20,3.09,ES,1700158682
105,byron bay,-28.65,153.6167,295.21,95,95,5.76,AU,1700158683
106,ishigaki,24.3448,124.1572,293.22,68,75,8.23,JP,1700158683
107,la ligua,-32.4524,-71.2311,293.96,40,0,4.71,CL,1700158684
108,zalari,53.5584,102.5065,267.6,92,100,2.84,RU,1700158685
109,jamestown,42.097,-79.2353,290.63,41,0,5.14,US,1700158401
110,tokmok,42.8417,75.3016,285.68,18,32,3.06,KG,1700158686
111,hammerfest,70.6634,23.6821,274.4,93,75,12.35,NO,1700158413
112,yarmouth,41.7057,-70.2286,289.41,53,0,2.06,US,1700158687
113,avarua,-21.2078,-159.775,297.18,57,20,5.14,CK,1700158688
114,hadibu,12.65,54.0333,300.67,81,86,4.85,YE,1700158688
115,la passe,45.5549,-0.8967,286.47,80,78,8.13,FR,1700158689
116,hotan,37.0997,79.9269,276.66,27,31,0.75,CN,1700158690
117,ulan bator,47.9077,106.8832,253.22,77,0,1.0,MN,1700158632
118,umm ruwaba,12.9061,31.2158,302.97,23,47,5.81,SD,1700158692
119,saipan,15.1355,145.701,300.54,83,20,6.17,MP,1700158693
120,umm kaddadah,13.6017,26.6876,298.87,26,32,5.64,SD,1700158693
121,pandan,14.0453,124.1694,299.56,86,98,7.69,PH,1700158694
122,labrador city,52.9463,-66.9114,272.1,74,75,3.6,CA,1700158695
123,ghat,24.9647,10.1728,294.35,28,0,3.0,LY,1700158695
124,camocim,-2.9022,-40.8411,305.19,54,1,9.98,BR,1700158416
125,ancud,-41.8697,-73.8203,284.17,97,100,9.8,CL,1700158697
126,puerto baquerizo moreno,-0.9,-89.6,300.7,65,75,9.26,EC,1700158698
127,labuan,5.2767,115.2417,298.35,94,20,0.0,MY,1700158698
128,manta,-0.95,-80.7333,303.03,62,40,6.69,EC,1700158667
129,bubaque,11.2833,-15.8333,301.65,70,4,4.34,GW,1700158699
130,ust-nera,64.5667,143.2,248.78,98,89,3.88,RU,1700158701
131,port elizabeth,-33.918,25.5701,292.77,92,75,8.23,ZA,1700158428
132,peno,56.9262,32.7426,264.99,96,95,1.65,RU,1700158702
133,ukiah,39.1502,-123.2078,291.57,73,100,0.89,US,1700158500
134,tazovsky,67.4667,78.7,254.21,99,11,3.83,RU,1700158424
135,kristinestad,62.2743,21.376,266.87,90,47,2.19,FI,1700158704
136,dudinka,69.4058,86.1778,261.83,96,97,4.8,RU,1700158704
137,columbia falls,48.3725,-114.1815,275.05,89,0,2.06,US,1700158705
138,tura,25.5198,90.2201,293.07,94,100,1.3,IN,1700158705
139,anadyr,64.75,177.4833,250.43,83,0,5.0,RU,1700158706
140,ichinohe,40.2069,141.3017,281.45,91,100,0.88,JP,1700158707
141,afaahiti,-17.75,-149.2833,299.08,80,100,10.51,PF,1700158707
142,nova xavantina,-14.6667,-52.35,314.76,17,16,1.97,BR,1700158708
143,thompson,55.7435,-97.8558,266.24,79,100,3.6,CA,1700158596
144,lobujya,27.95,86.8167,262.82,67,46,1.05,NP,1700158709
145,carnarvon,-24.8667,113.6333,294.94,81,0,4.83,AU,1700158710
146,fada,9.5667,8.3,298.65,38,50,2.29,NG,1700158710
147,shalkar,47.8288,59.6258,280.09,70,100,2.57,KZ,1700158711
148,college,64.8569,-147.8028,265.07,86,75,0.0,US,1700158712
149,kansk,56.2017,95.7175,273.96,68,100,3.91,RU,1700158713
150,niafunke,15.9322,-3.9906,305.67,14,86,3.97,ML,1700158713
151,canutama,-6.5339,-64.3831,314.35,20,45,2.16,BR,1700158714
152,babu,24.4167,111.5167,282.03,80,93,2.06,CN,1700158715
153,khanty-mansiysk,61.0042,69.0019,273.21,100,75,2.0,RU,1700158716
154,saint-joseph,-21.3667,55.6167,297.36,90,76,4.92,RE,1700158716
155,el idrissia,34.4454,2.5275,288.94,31,0,2.34,DZ,1700158717
156,katsuura,35.1333,140.3,288.16,75,100,7.17,JP,1700158717
157,kenai,60.5544,-151.2583,275.98,94,20,5.66,US,1700158718
158,haiku-pauwela,20.9219,-156.3051,296.51,82,40,4.63,US,1700158719
159,chaah,2.249,103.048,297.05,97,94,0.45,MY,1700158719
160,hawaiian paradise park,19.5933,-154.9731,295.39,85,100,2.06,US,1700158720
161,port mathurin,-19.6833,63.4167,298.85,77,65,7.37,MU,1700158720
162,peddapalli,18.6167,79.3667,294.55,48,13,2.95,IN,1700158721
163,tazacorte,28.629,-17.9293,298.69,34,0,3.09,ES,1700158722
164,hafar al-batin,28.4328,45.9708,291.47,82,0,0.0,SA,1700158722
165,sydney,-33.8679,151.2073,289.76,84,75,10.29,AU,1700158412
166,klaksvik,62.2266,-6.589,276.66,61,63,6.62,FO,1700158723
167,severo-yeniseyskiy,60.3725,93.0408,270.69,94,100,4.47,RU,1700158724
168,fort bragg,35.139,-79.006,296.38,50,20,2.06,US,1700158725
169,qui nhon,13.7667,109.2333,298.39,89,93,10.41,VN,1700158606
170,tolanaro,-25.0319,46.9987,294.18,72,97,5.98,MG,1700158726
171,chonchi,-42.6128,-73.8092,284.71,98,100,4.74,CL,1700158676
172,massaguet,12.4755,15.4365,304.82,19,78,6.79,TD,1700158727
173,ushuaia,-54.8,-68.3,282.96,49,0,5.81,AR,1700158728
174,muslyumovo,55.3033,53.1947,276.2,85,100,1.67,RU,1700158729
175,fortuna,40.5982,-124.1573,291.44,82,75,0.45,US,1700158729
176,atmore,31.0238,-87.4939,294.17,83,97,5.27,US,1700158730
177,midelt,32.6852,-4.7451,291.08,26,5,2.52,MA,1700158730
178,lazaro cardenas,17.9583,-102.2,303.62,69,19,2.03,MX,1700158731
179,guangming,45.3333,122.7833,268.0,91,86,4.71,CN,1700158732
180,whitehorse,60.7161,-135.0538,273.58,64,20,5.66,CA,1700158732
181,juneau,58.3019,-134.4197,276.16,97,100,6.17,US,1700158582
182,glen innes,-29.7333,151.7333,286.27,78,96,2.12,AU,1700158733
183,lisala,2.15,21.5167,293.91,99,100,1.21,CD,1700158734
184,kataba,13.9833,44.3833,290.82,68,81,1.55,YE,1700158734
185,leognan,44.7355,-0.5974,288.03,79,100,7.72,FR,1700158735
186,saint-pierre,-21.3393,55.4781,297.97,88,75,7.2,RE,1700158705
187,dolni dabnik,43.4,24.4333,281.05,76,0,3.09,BG,1700158737
188,san ciro de acosta,21.6333,-99.8167,296.75,48,39,2.16,MX,1700158737
189,novocherkassk,47.4181,40.0939,283.83,100,20,0.0,RU,1700158738
190,sake,-1.5736,29.045,291.41,95,95,0.88,CD,1700158739
191,bikenibeu village,1.3673,173.1241,301.13,83,40,1.03,KI,1700158739
192,lamu,-2.2717,40.902,299.27,82,20,4.44,KE,1700158740
193,dunedin,-45.8742,170.5036,283.04,94,100,2.68,NZ,1700158741
194,hamilton,39.1834,-84.5333,294.14,48,0,3.6,US,1700158585
195,cananeia,-25.0147,-47.9267,299.23,85,98,3.85,BR,1700158742
196,krivodanovka,55.0881,82.6551,278.2,75,75,3.13,RU,1700158742
197,alaghsas,17.0187,8.0168,302.09,17,4,7.2,NE,1700158743
198,nishinoomote,30.7333,131.0,289.36,80,100,14.27,JP,1700158744
199,atafu village,-8.5421,-172.5159,302.3,75,95,3.03,TK,1700158744
200,zeya,53.75,127.2667,265.64,71,98,1.81,RU,1700158745
201,nizhnesortymskiy,62.4397,71.7603,264.33,95,99,2.34,RU,1700158745
202,az zuwaytinah,30.9522,20.1202,295.65,72,0,4.66,LY,1700158746
203,westport,41.1415,-73.3579,291.79,52,1,1.79,US,1700158590
204,midvagur,62.0511,-7.1939,276.61,75,55,1.54,FO,1700158747
205,nieuw amsterdam,5.8833,-55.0833,298.72,89,75,1.54,SR,1700158748
206,daru,-9.0763,143.2092,297.96,82,81,3.77,PG,1700158748
207,el calafate,-50.3408,-72.2768,281.28,77,74,3.23,AR,1700158749
208,dickinson,29.4608,-95.0513,292.13,88,100,2.06,US,1700158452
209,ternate,0.8,127.4,300.76,79,74,2.18,ID,1700158750
210,monteagudo,-19.8167,-63.9833,311.37,25,74,5.26,BO,1700158751
211,tralee,52.2704,-9.7026,281.29,87,40,4.12,IE,1700158751
212,slave lake,55.2834,-114.769,268.14,74,40,2.57,CA,1700158752
213,jeddah,21.5169,39.2192,301.07,47,0,3.6,SA,1700158753
214,talnakh,69.4865,88.3972,261.6,95,100,4.1,RU,1700158753
215,santa ana de yacuma,-13.75,-65.4333,310.12,41,40,9.26,BO,1700158754
216,igarka,67.4667,86.5833,252.19,100,55,2.36,RU,1700158754
217,guerrero negro,27.9769,-114.0611,297.03,68,100,2.59,MX,1700158755
218,aykhal,66.0,111.5,264.35,94,100,6.05,RU,1700158756
219,nueve de julio,-35.4444,-60.8831,297.57,27,0,0.89,AR,1700158702
220,buala,-8.145,159.5921,298.55,83,14,1.14,SB,1700158757
221,gutao,37.2025,112.1781,276.03,33,0,5.69,CN,1700158758
222,homer,59.6425,-151.5483,278.09,74,100,5.14,US,1700158758
223,al fuwayliq,26.4432,43.2534,292.55,53,0,4.53,SA,1700158759
224,rouyn-noranda,48.2398,-79.0288,279.2,52,75,5.14,CA,1700158717
225,cosala,24.4125,-106.6908,305.3,37,73,1.56,MX,1700158760
226,lihue,21.9789,-159.3672,296.92,76,40,7.72,US,1700158761
227,kayenta,36.7278,-110.2546,288.96,44,50,7.41,US,1700158761
228,pathein,16.7833,94.7333,297.52,90,100,2.5,MM,1700158762
229,okha,53.5739,142.9478,269.0,85,100,3.71,RU,1700158763
230,coyhaique,-45.5752,-72.0662,288.49,62,75,6.17,CL,1700158763
231,touros,-5.1989,-35.4608,302.36,62,62,7.3,BR,1700158765
232,olyokminsk,60.3736,120.4264,264.09,80,100,4.98,RU,1700158765
233,khandyga,62.6667,135.6,256.77,96,100,2.61,RU,1700158766
234,walvis bay,-22.9575,14.5053,292.64,70,29,2.46,NA,1700158767
235,aasiaat,68.7098,-52.8699,262.04,96,98,2.35,GL,1700158767
236,sinabang,2.4803,96.3801,299.19,88,100,1.86,ID,1700158768
237,gudur,14.1333,79.85,298.87,81,97,0.09,IN,1700158768
238,howrah,22.5892,88.3103,296.15,88,75,3.09,IN,1700158769
239,remire-montjoly,4.9167,-52.2667,305.17,62,0,6.17,GF,1700158543
240,vilyuchinsk,52.9306,158.4028,265.89,84,7,4.39,RU,1700158193
241,iraquara,-12.2486,-41.6194,304.78,40,8,4.68,BR,1700158771
242,takestan,36.0696,49.6959,287.39,46,18,4.72,IR,1700158771
243,lompoc,34.6391,-120.4579,296.27,67,75,7.72,US,1700158772
244,gazli,40.1333,63.45,291.23,23,99,5.51,UZ,1700158773
245,port macquarie,-31.4333,152.9167,291.98,93,97,0.94,AU,1700158773
246,boden,65.8252,21.6886,263.15,97,84,1.15,SE,1700158774
247,ranapur,22.65,74.5333,293.51,48,0,3.07,IN,1700158775
248,vadso,70.0744,29.7487,269.24,74,40,4.63,NO,1700158775
249,waounde,15.2637,-12.8682,306.88,9,32,3.56,SN,1700158776
250,puerto colombia,10.9878,-74.9547,306.2,72,91,3.29,CO,1700158776
251,campbell river,50.0163,-125.2446,277.84,100,75,2.06,CA,1700158777
252,songea,-10.6833,35.65,294.62,64,89,0.89,TZ,1700158778
253,namibe,-15.1961,12.1522,296.79,77,79,4.24,AO,1700158779
254,flying fish cove,-10.4217,105.6791,298.97,83,100,3.6,CX,1700158779
255,lebu,-37.6167,-73.65,286.14,83,100,6.73,CL,1700158780
256,ciudad melchor muzquiz,27.8833,-101.5167,295.08,59,60,2.17,MX,1700158781
257,bokovskaya,49.229,41.8306,280.85,84,95,2.13,RU,1700158781
258,muynoq,43.7683,59.0214,284.98,78,78,3.28,UZ,1700158782
259,bol,13.4586,14.7147,301.41,41,48,6.42,TD,1700158782
260,luderitz,-26.6481,15.1594,292.36,75,26,2.51,NA,1700158783
261,purpe,64.4803,76.6897,257.58,96,100,1.85,RU,1700158783
262,sitka,57.0531,-135.33,280.09,81,100,3.09,US,1700158784
263,newman,37.3138,-121.0208,293.28,77,44,0.45,US,1700158785
264,laguna,38.421,-121.4238,291.35,83,75,3.6,US,1700158785
265,hobyo,5.3505,48.5268,301.33,78,62,4.69,SO,1700158786
266,ponta delgada,37.7333,-25.6667,294.92,88,75,6.69,PT,1700158787
267,vydrino,51.485,104.8461,272.65,70,59,2.32,RU,1700158788
268,pahrump,36.2083,-115.9839,288.18,87,40,0.89,US,1700158788
269,ulsteinvik,62.3432,5.8487,274.68,68,0,4.02,NO,1700158789
270,weno,7.4515,151.8468,298.12,100,100,1.54,FM,1700158790
271,ta`u,-14.2336,-169.5144,301.04,82,96,4.88,AS,1700158790
272,ribeira brava,32.65,-17.0667,297.43,77,33,3.15,PT,1700158791
273,christchurch,-43.5333,172.6333,289.56,70,100,3.6,NZ,1700158503
274,yaren,-0.5472,166.916,301.06,79,21,2.25,NR,1700158792
275,dhulikhel,27.6189,85.5529,285.07,82,0,0.99,NP,1700158793
276,yeosu,34.7546,127.6599,281.85,76,39,5.47,KR,1700158793
277,porto novo,6.4965,2.6036,302.05,78,100,2.23,BJ,1700158793
278,tsengel,49.4783,100.8894,264.43,79,3,1.66,MN,1700158794
279,kirakira,-10.4544,161.9205,297.91,87,50,2.91,SB,1700158795
280,markovo,57.3206,107.0881,269.27,79,100,3.93,RU,1700158796
281,pingliang,35.5392,106.6861,275.79,27,0,1.84,CN,1700158796
282,georgetown,5.4112,100.3354,300.38,86,20,2.06,MY,1700158647
283,tofol,5.3248,163.0078,301.35,76,95,2.55,FM,1700158797
284,klyuchi,52.2667,79.1667,279.81,61,100,3.49,RU,1700158798
285,kincardine,56.0667,-3.7167,280.68,94,98,0.47,GB,1700158798
286,mar del plata,-38.0023,-57.5575,292.5,62,40,6.69,AR,1700158654
287,lospalos,-8.5186,127.0025,295.75,85,13,0.53,TL,1700158800
288,qarazhal,48.0078,70.7903,278.53,45,83,3.87,KZ,1700158800
289,kingston,17.997,-76.7936,299.68,97,100,6.69,JM,1700158802
290,askoy,60.4092,5.226,276.9,87,75,2.06,NO,1700158802
291,najaf,31.9985,44.3398,290.03,100,75,2.57,IQ,1700158803
292,rongelap,11.1635,166.8941,301.12,82,46,8.95,MH,1700158804
293,reggane,26.7158,0.1714,299.65,20,2,2.81,DZ,1700158805
294,acapulco de juarez,16.8634,-99.8901,305.05,70,40,4.12,MX,1700158805
295,noosa heads,-26.3833,153.15,298.77,81,94,5.16,AU,1700158806
296,la sarre,48.8002,-79.1996,276.47,80,100,5.79,CA,1700158807
297,qaqortoq,60.7167,-46.0333,269.31,79,93,3.6,GL,1700158807
298,feijo,-8.1642,-70.3536,310.3,34,71,1.99,BR,1700158808
299,kapuskasing,49.4169,-82.4331,281.2,42,100,8.23,CA,1700158809
300,crasna,47.1667,22.9,280.54,78,91,2.7,RO,1700158810
301,saint-pierre-du-mont,43.8845,-0.5219,288.59,81,100,3.09,FR,1700158811
302,escanaba,45.7453,-87.0646,287.73,71,0,6.17,US,1700158532
303,severodvinsk,64.5635,39.8302,267.66,69,96,5.93,RU,1700158812
304,solleftea,63.1667,17.2667,257.07,100,88,0.69,SE,1700158813
305,kayangel,8.0823,134.7173,301.97,81,94,7.78,PW,1700158813
